,file_name,ICM,state
190,Blast_PCRM_R13-0167b.BMP,B,0
358,Blast_PCRM_d5.29.BMP,B,0
211,Blast_PCRM_R13-0410b.BMP,C,0
102,IMAGE (58).jpg,A,0
70,IMAGE (26).jpg,C,0
246,Blast_PCRM_R14-0328a.BMP,A,0
54,IMAGE (10).jpg,A,0
160,Blast_PCRM_R13-0026.BMP,A,0
47,IMAGE (3).jpg,A,0
223,Blast_PCRM_R14-0073.BMP,B,0
352,Blast_PCRM_d5.14.BMP,B,0
300,Blast_PCRM_R16-0228A.BMP,A,0
333,Blast_PCRM_1201754 D5.BMP,B,0
96,IMAGE (52).jpg,A,0
71,IMAGE (27).jpg,A,0
34,32_3CC.jpeg,C,0
49,IMAGE (5).jpg,C,0
130,Blast_PCRM_R12-0316b.BMP,A,0
58,IMAGE (14).jpg,B,0
231,Blast_PCRM_R14-0175.BMP,A,0
281,Blast_PCRM_R16-0091b.BMP,B,0
115,Blast_PCRM_R12-0221b.BMP,A,0
341,Blast_PCRM_1202832 D6.BMP,B,0
164,Blast_PCRM_R13-0051A.BMP,A,0
201,Blast_PCRM_R13-0312.BMP,A,0
191,Blast_PCRM_R13-0218a.BMP,A,0
203,Blast_PCRM_R13-0325.BMP,A,0
165,Blast_PCRM_R13-0052A.BMP,B,0
263,Blast_PCRM_R14-0388a.BMP,A,0
170,Blast_PCRM_R13-0065B.BMP,A,0
350,Blast_PCRM_d5.12.BMP,B,0
328,Blast_PCRM_R16-0448A.BMP,A,0
320,Blast_PCRM_R16-0347A.BMP,A,0
305,Blast_PCRM_R16-0247B.BMP,A,0
336,Blast_PCRM_1202182 D5.BMP,A,0
292,Blast_PCRM_R16-0157a.BMP,A,0
68,IMAGE (24).jpg,A,0
4,4_3AA.jpg,A,0
2,2_4AA(R).jpg,A,0
357,Blast_PCRM_d5.26.BMP,B,0
315,Blast_PCRM_R16-0326B.BMP,A,0
252,Blast_PCRM_R14-0353a.BMP,A,0
5,5_3AA(L).jpg,A,0
235,Blast_PCRM_R14-0238.BMP,B,0
212,Blast_PCRM_R13-0447a.BMP,A,0
