,file_name,TE,state
6,5_4AA(R).jpg,A,0
28,26_4CB.jpeg,B,0
39,37_3BC.jpg,C,0
108,IMAGE (64).jpg,B,0
10,9_3AB.jpg,B,0
46,IMAGE (2).jpg,A,0
53,IMAGE (9).jpg,A,0
3,3_3AA.jpg,A,0
84,IMAGE (40).jpg,A,0
20,18_4AA.jpg,A,0
55,IMAGE (11).jpg,A,0
49,IMAGE (5).jpg,C,0
68,IMAGE (24).jpg,A,0
107,IMAGE (63).jpg,B,0
64,IMAGE (20).jpg,C,0
40,38_3CB.jpg,B,0
78,IMAGE (34).jpg,A,0
104,IMAGE (60).jpg,B,0
24,22_4BB.jpeg,B,0
60,IMAGE (16).jpg,A,0
54,IMAGE (10).jpg,A,0
59,IMAGE (15).jpg,A,0
66,IMAGE (22).jpg,B,0
72,IMAGE (28).jpg,A,0
93,IMAGE (49).jpg,B,0
32,30_4AA.jpeg,A,0
43,41_4AC.jpg,C,0
8,6_4AA.jpg,A,0
79,IMAGE (35).jpg,A,0
17,15_4AB.jpg,B,0
77,IMAGE (33).jpg,A,0
52,IMAGE (8).jpg,B,0
101,IMAGE (57).jpg,A,0
100,IMAGE (56).jpg,A,0
23,21_4BB.jpeg,B,0
50,IMAGE (6).jpg,A,0
82,IMAGE (38).jpg,B,0
33,31_3CB.jpeg,B,0
58,IMAGE (14).jpg,A,0
47,IMAGE (3).jpg,A,0
95,IMAGE (51).jpg,A,0
37,35_3AB.jpg,B,0
2,2_4AA(R).jpg,A,0
98,IMAGE (54).jpg,B,0
85,IMAGE (41).jpg,B,0
80,IMAGE (36).jpg,A,0
75,IMAGE (31).jpg,A,0
86,IMAGE (42).jpg,A,0
41,39_3CB.jpg,B,0
74,IMAGE (30).jpg,A,0
67,IMAGE (23).jpg,A,0
69,IMAGE (25).jpg,A,0
76,IMAGE (32).jpg,A,0
61,IMAGE (17).jpg,B,0
11,10_3AA.jpg,A,0
57,IMAGE (13).jpg,A,0
109,IMAGE (65).jpg,A,0
89,IMAGE (45).jpg,A,0
12,11_4AA.jpg,A,0
14,13_2AA.jpg,A,0
88,IMAGE (44).jpg,A,0
22,20_3AA.jpg,A,0
35,33_3AC.PNG,C,0
42,40_3CC.jpg,C,0
0,1_3AA.jpg,A,0
1,2_2AA(L).jpg,A,0
103,IMAGE (59).jpg,B,0
38,36_3BC.jpg,C,0
51,IMAGE (7).jpg,A,0
45,IMAGE (1).jpg,A,0
92,IMAGE (48).jpg,B,0
4,4_3AA.jpg,A,0
26,24_3BA.jpeg,A,0
34,32_3CC.jpeg,C,0
16,14_4AA(R).jpg,A,0
9,8_2AA.jpg,A,0
83,IMAGE (39).jpg,B,0
91,IMAGE (47).jpg,B,0
19,17_3AA.jpg,A,0
96,IMAGE (52).jpg,A,0
99,IMAGE (55).jpg,A,0
5,5_3AA(L).jpg,A,0
102,IMAGE (58).jpg,A,0
30,28_4CC.jpeg,C,0
48,IMAGE (4).jpg,A,0
44,42_4BC.jpg,C,0
94,IMAGE (50).jpg,C,0
56,IMAGE (12).jpg,A,0
29,27_4CB.jpeg,B,0
106,IMAGE (62).jpg,C,0
13,12_4AA.jpg,A,0
87,IMAGE (43).jpg,A,0
105,IMAGE (61).jpg,C,0
15,14_4AA(L).jpg,A,1
97,IMAGE (53).jpg,A,1
31,29_3CC.jpeg,C,1
63,IMAGE (19).jpg,B,1
18,16_4AB.jpg,B,1
73,IMAGE (29).jpg,B,1
71,IMAGE (27).jpg,A,1
70,IMAGE (26).jpg,C,1
25,23_3CA.jpeg,A,1
27,25_3BA.jpeg,A,1
90,IMAGE (46).jpg,A,1
21,19_3AA.jpg,A,1
7,7_3AA.jpg,A,1
62,IMAGE (18).jpg,B,1
65,IMAGE (21).jpg,A,1
81,IMAGE (37).jpg,A,1
36,34_3CC.PNG,C,1
