,file_name,ZP,state
89,IMAGE (45).jpg,4,0
73,IMAGE (29).jpg,3,0
13,12_4AA.jpg,4,0
50,IMAGE (6).jpg,3,0
31,29_3CC.jpeg,3,0
101,IMAGE (57).jpg,3,0
16,14_4AA(R).jpg,4,0
82,IMAGE (38).jpg,3,0
48,IMAGE (4).jpg,3,0
25,23_3CA.jpeg,3,0
27,25_3BA.jpeg,3,0
60,IMAGE (16).jpg,4,0
109,IMAGE (65).jpg,4,0
15,14_4AA(L).jpg,4,0
83,IMAGE (39).jpg,3,0
45,IMAGE (1).jpg,4,0
72,IMAGE (28).jpg,3,0
21,19_3AA.jpg,3,0
61,IMAGE (17).jpg,3,0
86,IMAGE (42).jpg,3,0
62,IMAGE (18).jpg,3,0
75,IMAGE (31).jpg,3,0
58,IMAGE (14).jpg,4,0
67,IMAGE (23).jpg,3,0
44,42_4BC.jpg,4,0
10,9_3AB.jpg,3,0
108,IMAGE (64).jpg,3,0
53,IMAGE (9).jpg,4,0
51,IMAGE (7).jpg,4,0
28,26_4CB.jpeg,4,0
103,IMAGE (59).jpg,3,0
0,1_3AA.jpg,3,0
104,IMAGE (60).jpg,3,0
80,IMAGE (36).jpg,4,0
97,IMAGE (53).jpg,3,0
32,30_4AA.jpeg,4,0
24,22_4BB.jpeg,4,0
88,IMAGE (44).jpg,4,0
12,11_4AA.jpg,4,0
94,IMAGE (50).jpg,3,0
71,IMAGE (27).jpg,4,0
91,IMAGE (47).jpg,3,0
55,IMAGE (11).jpg,3,0
11,10_3AA.jpg,3,0
92,IMAGE (48).jpg,3,0
2,2_4AA(R).jpg,4,0
63,IMAGE (19).jpg,4,0
54,IMAGE (10).jpg,3,0
14,13_2AA.jpg,2,0
66,IMAGE (22).jpg,4,0
20,18_4AA.jpg,4,0
4,4_3AA.jpg,2,0
106,IMAGE (62).jpg,4,0
59,IMAGE (15).jpg,3,0
43,41_4AC.jpg,4,0
52,IMAGE (8).jpg,4,0
90,IMAGE (46).jpg,3,0
26,24_3BA.jpeg,3,0
39,37_3BC.jpg,3,0
76,IMAGE (32).jpg,3,0
7,7_3AA.jpg,3,0
23,21_4BB.jpeg,4,0
22,20_3AA.jpg,3,0
49,IMAGE (5).jpg,3,0
18,16_4AB.jpg,4,0
9,8_2AA.jpg,2,0
35,33_3AC.PNG,3,0
100,IMAGE (56).jpg,3,0
34,32_3CC.jpeg,3,0
85,IMAGE (41).jpg,3,0
79,IMAGE (35).jpg,3,0
84,IMAGE (40).jpg,3,0
36,34_3CC.PNG,3,0
64,IMAGE (20).jpg,3,0
47,IMAGE (3).jpg,2,0
1,2_2AA(L).jpg,2,0
98,IMAGE (54).jpg,2,0
19,17_3AA.jpg,3,0
6,5_4AA(R).jpg,4,0
81,IMAGE (37).jpg,3,0
37,35_3AB.jpg,3,0
93,IMAGE (49).jpg,3,0
107,IMAGE (63).jpg,3,0
96,IMAGE (52).jpg,3,0
69,IMAGE (25).jpg,3,0
74,IMAGE (30).jpg,3,0
78,IMAGE (34).jpg,3,0
38,36_3BC.jpg,3,0
95,IMAGE (51).jpg,4,0
8,6_4AA.jpg,4,0
42,40_3CC.jpg,3,0
65,IMAGE (21).jpg,3,0
33,31_3CB.jpeg,3,0
99,IMAGE (55).jpg,3,1
57,IMAGE (13).jpg,4,1
40,38_3CB.jpg,3,1
5,5_3AA(L).jpg,3,1
68,IMAGE (24).jpg,4,1
77,IMAGE (33).jpg,3,1
87,IMAGE (43).jpg,3,1
41,39_3CB.jpg,3,1
3,3_3AA.jpg,3,1
46,IMAGE (2).jpg,3,1
30,28_4CC.jpeg,4,1
70,IMAGE (26).jpg,3,1
56,IMAGE (12).jpg,3,1
29,27_4CB.jpeg,4,1
102,IMAGE (58).jpg,2,1
17,15_4AB.jpg,4,1
105,IMAGE (61).jpg,3,1
